"status","ctime","rtime","uptime","memoria","cpu","tacc","tkb"
1,37:06,43:05,10441,1.2%,0.0%,970765,822564
1,37:08,43:05,10443,1.2%,0.0%,970768,822568
1,37:10,43:05,10444,1.2%,0.0%,970772,822571
1,37:12,43:05,10446,1.2%,0.0%,970775,822574
1,37:13,43:05,10448,1.2%,0.0%,970779,822578
1,37:15,43:05,10450,1.2%,0.0%,970782,822581
1,37:17,43:05,10452,1.2%,0.0%,970785,822583
1,37:19,43:05,10453,0.0%,0.0%,970788,822586
1,37:21,43:05,10455,1.2%,1.0%,970792,822590
1,37:22,43:05,10457,1.2%,0.0%,970795,822593
1,37:24,43:05,10459,1.2%,0.0%,970799,822597
1,37:26,43:05,10461,1.2%,0.0%,970802,822600
1,37:28,43:05,10463,1.2%,0.5%,970806,822604
1,37:29,43:05,10464,1.2%,0.0%,970809,822607
1,37:30,43:05,10465,1.2%,0.5%,970811,822609
