 
PING 192.168.42.65 (192.168.42.65) 56(84) bytes of data.
64 bytes from 192.168.42.65: icmp_seq=216 ttl=62 time=90.1 ms
64 bytes from 192.168.42.65: icmp_seq=217 ttl=62 time=89.2 ms
64 bytes from 192.168.42.65: icmp_seq=218 ttl=62 time=84.2 ms
64 bytes from 192.168.42.65: icmp_seq=219 ttl=62 time=79.5 ms
64 bytes from 192.168.42.65: icmp_seq=220 ttl=62 time=56.1 ms
64 bytes from 192.168.42.65: icmp_seq=221 ttl=62 time=14.1 ms
64 bytes from 192.168.42.65: icmp_seq=222 ttl=62 time=12.9 ms
64 bytes from 192.168.42.65: icmp_seq=223 ttl=62 time=88.7 ms
64 bytes from 192.168.42.65: icmp_seq=224 ttl=62 time=86.2 ms
64 bytes from 192.168.42.65: icmp_seq=225 ttl=62 time=82.9 ms
64 bytes from 192.168.42.65: icmp_seq=226 ttl=62 time=86.9 ms
64 bytes from 192.168.42.65: icmp_seq=227 ttl=62 time=78.0 ms
64 bytes from 192.168.42.65: icmp_seq=228 ttl=62 time=77.7 ms
64 bytes from 192.168.42.65: icmp_seq=229 ttl=62 time=57.9 ms
64 bytes from 192.168.42.65: icmp_seq=230 ttl=62 time=49.7 ms
64 bytes from 192.168.42.65: icmp_seq=231 ttl=62 time=87.4 ms
64 bytes from 192.168.42.65: icmp_seq=233 ttl=62 time=89.1 ms
64 bytes from 192.168.42.65: icmp_seq=234 ttl=62 time=88.3 ms
64 bytes from 192.168.42.65: icmp_seq=235 ttl=62 time=73.9 ms
64 bytes from 192.168.42.65: icmp_seq=236 ttl=62 time=76.4 ms
64 bytes from 192.168.42.65: icmp_seq=237 ttl=62 time=60.9 ms
64 bytes from 192.168.42.65: icmp_seq=238 ttl=62 time=51.0 ms
64 bytes from 192.168.42.65: icmp_seq=239 ttl=62 time=87.5 ms
64 bytes from 192.168.42.65: icmp_seq=241 ttl=62 time=40.6 ms
64 bytes from 192.168.42.65: icmp_seq=242 ttl=62 time=67.3 ms
64 bytes from 192.168.42.65: icmp_seq=243 ttl=62 time=69.7 ms
64 bytes from 192.168.42.65: icmp_seq=244 ttl=62 time=83.8 ms
64 bytes from 192.168.42.65: icmp_seq=245 ttl=62 time=77.2 ms
64 bytes from 192.168.42.65: icmp_seq=246 ttl=62 time=50.7 ms
64 bytes from 192.168.42.65: icmp_seq=247 ttl=62 time=88.0 ms
64 bytes from 192.168.42.65: icmp_seq=248 ttl=62 time=88.0 ms
64 bytes from 192.168.42.65: icmp_seq=249 ttl=62 time=85.4 ms
64 bytes from 192.168.42.65: icmp_seq=251 ttl=62 time=82.4 ms
64 bytes from 192.168.42.65: icmp_seq=252 ttl=62 time=36.8 ms
64 bytes from 192.168.42.65: icmp_seq=253 ttl=62 time=40.9 ms
64 bytes from 192.168.42.65: icmp_seq=254 ttl=62 time=6.34 ms
64 bytes from 192.168.42.65: icmp_seq=255 ttl=62 time=88.2 ms
64 bytes from 192.168.42.65: icmp_seq=256 ttl=62 time=89.1 ms
64 bytes from 192.168.42.65: icmp_seq=257 ttl=62 time=88.7 ms
64 bytes from 192.168.42.65: icmp_seq=258 ttl=62 time=83.0 ms
64 bytes from 192.168.42.65: icmp_seq=259 ttl=62 time=45.8 ms
64 bytes from 192.168.42.65: icmp_seq=260 ttl=62 time=0.421 ms
64 bytes from 192.168.42.65: icmp_seq=261 ttl=62 time=0.273 ms
64 bytes from 192.168.42.65: icmp_seq=262 ttl=62 time=4.02 ms
64 bytes from 192.168.42.65: icmp_seq=263 ttl=62 time=51.7 ms
64 bytes from 192.168.42.65: icmp_seq=265 ttl=62 time=81.3 ms
64 bytes from 192.168.42.65: icmp_seq=266 ttl=62 time=39.7 ms
64 bytes from 192.168.42.65: icmp_seq=267 ttl=62 time=37.7 ms
64 bytes from 192.168.42.65: icmp_seq=268 ttl=62 time=20.1 ms
64 bytes from 192.168.42.65: icmp_seq=269 ttl=62 time=0.385 ms
64 bytes from 192.168.42.65: icmp_seq=270 ttl=62 time=3.62 ms
64 bytes from 192.168.42.65: icmp_seq=271 ttl=62 time=77.9 ms
64 bytes from 192.168.42.65: icmp_seq=272 ttl=62 time=89.8 ms
64 bytes from 192.168.42.65: icmp_seq=273 ttl=62 time=89.4 ms
64 bytes from 192.168.42.65: icmp_seq=275 ttl=62 time=62.4 ms
64 bytes from 192.168.42.65: icmp_seq=276 ttl=62 time=28.3 ms
64 bytes from 192.168.42.65: icmp_seq=277 ttl=62 time=18.9 ms
64 bytes from 192.168.42.65: icmp_seq=278 ttl=62 time=14.2 ms
64 bytes from 192.168.42.65: icmp_seq=279 ttl=62 time=88.0 ms
64 bytes from 192.168.42.65: icmp_seq=280 ttl=62 time=86.1 ms
64 bytes from 192.168.42.65: icmp_seq=281 ttl=62 time=89.2 ms
64 bytes from 192.168.42.65: icmp_seq=282 ttl=62 time=88.4 ms
64 bytes from 192.168.42.65: icmp_seq=283 ttl=62 time=75.7 ms
64 bytes from 192.168.42.65: icmp_seq=284 ttl=62 time=69.4 ms
64 bytes from 192.168.42.65: icmp_seq=285 ttl=62 time=34.5 ms
64 bytes from 192.168.42.65: icmp_seq=286 ttl=62 time=15.5 ms
64 bytes from 192.168.42.65: icmp_seq=287 ttl=62 time=85.7 ms
64 bytes from 192.168.42.65: icmp_seq=288 ttl=62 time=89.4 ms
64 bytes from 192.168.42.65: icmp_seq=289 ttl=62 time=88.0 ms
64 bytes from 192.168.42.65: icmp_seq=290 ttl=62 time=86.5 ms
64 bytes from 192.168.42.65: icmp_seq=291 ttl=62 time=70.7 ms
64 bytes from 192.168.42.65: icmp_seq=292 ttl=62 time=63.9 ms
64 bytes from 192.168.42.65: icmp_seq=293 ttl=62 time=55.6 ms
64 bytes from 192.168.42.65: icmp_seq=294 ttl=62 time=47.5 ms
64 bytes from 192.168.42.65: icmp_seq=295 ttl=62 time=81.6 ms
64 bytes from 192.168.42.65: icmp_seq=296 ttl=62 time=87.7 ms
64 bytes from 192.168.42.65: icmp_seq=297 ttl=62 time=84.0 ms
64 bytes from 192.168.42.65: icmp_seq=298 ttl=62 time=86.5 ms
64 bytes from 192.168.42.65: icmp_seq=299 ttl=62 time=79.2 ms
64 bytes from 192.168.42.65: icmp_seq=300 ttl=62 time=84.2 ms
64 bytes from 192.168.42.65: icmp_seq=301 ttl=62 time=0.302 ms
64 bytes from 192.168.42.65: icmp_seq=302 ttl=62 time=0.591 ms
64 bytes from 192.168.42.65: icmp_seq=303 ttl=62 time=0.343 ms
64 bytes from 192.168.42.65: icmp_seq=304 ttl=62 time=0.265 ms
64 bytes from 192.168.42.65: icmp_seq=305 ttl=62 time=0.254 ms
