 
PING 192.168.42.65 (192.168.42.65) 56(84) bytes of data.
64 bytes from 192.168.42.65: icmp_seq=185 ttl=62 time=0.236 ms
64 bytes from 192.168.42.65: icmp_seq=186 ttl=62 time=0.290 ms
64 bytes from 192.168.42.65: icmp_seq=187 ttl=62 time=0.239 ms
64 bytes from 192.168.42.65: icmp_seq=188 ttl=62 time=0.239 ms
64 bytes from 192.168.42.65: icmp_seq=189 ttl=62 time=0.565 ms
64 bytes from 192.168.42.65: icmp_seq=190 ttl=62 time=0.538 ms
64 bytes from 192.168.42.65: icmp_seq=191 ttl=62 time=0.347 ms
64 bytes from 192.168.42.65: icmp_seq=192 ttl=62 time=0.298 ms
64 bytes from 192.168.42.65: icmp_seq=193 ttl=62 time=0.607 ms
64 bytes from 192.168.42.65: icmp_seq=194 ttl=62 time=0.431 ms
64 bytes from 192.168.42.65: icmp_seq=195 ttl=62 time=0.462 ms
64 bytes from 192.168.42.65: icmp_seq=196 ttl=62 time=0.280 ms
64 bytes from 192.168.42.65: icmp_seq=197 ttl=62 time=0.311 ms
64 bytes from 192.168.42.65: icmp_seq=198 ttl=62 time=0.572 ms
64 bytes from 192.168.42.65: icmp_seq=199 ttl=62 time=0.269 ms
64 bytes from 192.168.42.65: icmp_seq=200 ttl=62 time=0.232 ms
64 bytes from 192.168.42.65: icmp_seq=201 ttl=62 time=0.260 ms
64 bytes from 192.168.42.65: icmp_seq=202 ttl=62 time=0.418 ms
64 bytes from 192.168.42.65: icmp_seq=203 ttl=62 time=0.590 ms
64 bytes from 192.168.42.65: icmp_seq=204 ttl=62 time=0.529 ms
64 bytes from 192.168.42.65: icmp_seq=205 ttl=62 time=0.584 ms
64 bytes from 192.168.42.65: icmp_seq=206 ttl=62 time=0.317 ms
64 bytes from 192.168.42.65: icmp_seq=207 ttl=62 time=0.641 ms
64 bytes from 192.168.42.65: icmp_seq=208 ttl=62 time=0.579 ms
64 bytes from 192.168.42.65: icmp_seq=209 ttl=62 time=0.266 ms
64 bytes from 192.168.42.65: icmp_seq=210 ttl=62 time=0.442 ms
64 bytes from 192.168.42.65: icmp_seq=211 ttl=62 time=0.505 ms
64 bytes from 192.168.42.65: icmp_seq=212 ttl=62 time=0.264 ms
64 bytes from 192.168.42.65: icmp_seq=213 ttl=62 time=0.266 ms
64 bytes from 192.168.42.65: icmp_seq=214 ttl=62 time=0.273 ms
64 bytes from 192.168.42.65: icmp_seq=215 ttl=62 time=0.254 ms
64 bytes from 192.168.42.65: icmp_seq=216 ttl=62 time=0.574 ms
64 bytes from 192.168.42.65: icmp_seq=217 ttl=62 time=0.220 ms
64 bytes from 192.168.42.65: icmp_seq=218 ttl=62 time=0.323 ms
64 bytes from 192.168.42.65: icmp_seq=219 ttl=62 time=0.324 ms
