"status","ctime","rtime","uptime","memoria","cpu","tacc","tkb"
1,17:58,43:05,9293,0.9%,0.4%,400578,339034
1,18:00,43:05,9295,0.9%,0.0%,400582,339037
1,18:02,43:05,9297,0.9%,0.0%,400585,339040
1,18:04,43:05,9299,0.9%,0.0%,400589,339044
1,18:06,43:05,9300,0.9%,0.5%,400593,339048
1,18:07,43:05,9302,0.9%,0.0%,400596,339051
1,18:09,43:05,9304,0.9%,0.0%,400600,339054
1,18:11,43:05,9306,0.9%,0.0%,400603,339057
1,18:13,43:05,9308,0.9%,0.0%,400607,339061
1,18:15,43:05,9309,0.9%,0.0%,400610,339064
1,18:16,43:05,9311,0.9%,0.0%,400614,339068
1,18:18,43:05,9313,0.9%,0.0%,400617,339071
1,18:20,43:05,9315,0.9%,1.0%,400621,339074
1,18:22,43:05,9316,0.9%,0.5%,400624,339077
1,18:24,43:05,9318,0.9%,0.0%,400628,339081
1,18:25,43:05,9320,0.9%,0.0%,400631,339084
1,18:26,43:05,9321,0.9%,0.0%,400634,339087
1,18:28,43:05,9322,0.9%,0.5%,400637,339090
1,18:29,43:05,9323,0.9%,0.0%,400640,339093
1,18:30,43:05,9324,0.9%,0.0%,400643,339096
1,18:31,43:05,9325,0.9%,0.0%,400646,339100
1,18:32,43:05,9327,0.9%,0.5%,400649,339103
1,18:33,43:05,9328,0.9%,0.0%,400652,339106
1,18:34,43:05,9329,0.9%,0.0%,400655,339109
1,18:35,43:05,9330,0.9%,0.0%,400657,339111
